company,m_a_between_1_1_15_12_31_20,type_of_server,nature_of_breach,vertical,mega_breach,details_on_record_number,raw_record_number,company_founded_before_year_2010,year_company_was_founded,date_breach_occurred,date_breach_was_reported,link,source,location,location_2
Alinta Energy,NA,unknown,didn't have any proper systems or security to protect any of the sensitive data it stored,energy,NA,"names, addresses, birth dates, mobile numbers, Medicare and passport numbers, credit card details and, in some cases, individual health records.",1.1 million customers,no,2011,2019,March,https://www.abc.net.au/news/2020-03-02/alinta-energy-accused-of-putting-customers-information-at-risk/12006752,abc australia,australia,NA
Antheus Tecnologia,NA,unkown,"unsecured database, no password protection in the cloud",technology,NA,"fingerprints, email addresses, admin login, phone numbers",81.5 million records,yes,1996,March,March,https://auth0.com/blog/the-11-biggest-data-breaches-of-2020-so-far/,auth0,Brazil,NA
Clearview,NA,unkown,not specified,AI,NA,list of customers,unknown,no,2017,Feb.,Feb.,https://www.cnet.com/news/clearview-ai-had-entire-client-list-stolen-in-data-breach/,Cnet,"Manhattan, NY",NA
Denmark,NA,unkown,software bug in URL,government,NA,taxpayer ID numbers,1.26 million people,yes,8th century,2015,Jan 2020,https://www.zdnet.com/article/software-error-exposes-the-id-numbers-for-1-26-million-danish-citizens/,ZDnet,denmark,NA
Entercom Radio,NA,unknown,someone was able to access database backup files stored third-party cloud hosting services,media,NA,user credentials,unknown,yes,1968,Aug. 2019,March,https://www.bleepingcomputer.com/news/security/entercom-radio-giant-says-data-breach-exposed-user-credentials/,bleeping computer,NA,NA
Estee Lauder,NA,unsecured server,no password protection or any kind of security protecting the data base,beauty,NA,"emails, references to reports and internal docs, IP addresses",440 million records,yes,1946,Jan. 30,Feb. 11,https://www.forbes.com/sites/daveywinder/2020/02/11/estee-lauder-data-leak-440-million-records-exposed/?sh=509a5a862590,Forbes,NYC,NA
Keepnet labs,NA,Elasticsearch,publicly accessible database,security,NA,collection of data breaches that have occured,5 billion records,no,2017,March,March,https://securitydiscovery.com/data-breach-database-data-breach/,Security Discovery,"London, UK",NA
LabCorp,NA,unknown,"back-end of the website was not password protected, people could get to it through a google url",healthcare,NA,"names, addresses, ssn","10,000 records",yes,1978,January,January,https://techcrunch.com/2020/01/28/labcorp-website-bug-medical-data-exposed/,techcrunch,North Carolina,NA
MCA Wizards,NA,AWS,unsecured s3 bucket,finance,NA,"private legal and business documents, companies private info: ssn, credit reports",425GB,unknown,unknown,march,March,https://www.zdnet.com/article/financial-apps-leak-425gb-in-company-data-through-open-database/,ZDnet,unknown,NA
Microsoft,NA,Elasticsearch,unsecured server,technology,NA,"250 million customer records: service logs, IP addresses, email address, locations. case numbers, resolutions","250,000,000",yes,1975,NA,1/22/21,https://www.forbes.com/sites/daveywinder/2020/01/22/microsoft-security-shocker-as-250-million-customer-records-exposed-online/?sh=3598dd7d4d1b,Forbes,"Redmond, WA",NA
