cc,count
GB,2970971
GI,5296
EU,568221
NL,3465581
DK,341639
SE,685508
SG,602239
CA,2003404
WS,1317
BY,41920
KG,8565
ZA,356858
FI,230381
CY,27058
DO,332251
MX,3430468
LB,77217
MK,31532
AM,59069
CR,132639
BZ,15786
LK,125122
RS,106693
FJ,4690
NG,65815
KH,24396
KW,454033
MO,34345
PF,5497
BO,126542
A1,8120
JO,62275
GM,1506
UG,5677
LA,5704
KP,303
GE,43664
RW,3171
AO,14032
SZ,1366
CD,1931
IO,237
SC,7719
ME,22690
MQ,5046
AD,4775
MC,2810
JM,25967
TM,591
KI,197
GL,1087
AX,4771
GD,4281
TV,168
MF,284
NU,133
TW,2212144
DE,4591820
PL,1461490
CH,444924
RU,2553353
NO,383932
RE,27030
GA,6645
TN,104364
SN,7162
BD,62199
IR,2087137
QA,40574
EE,66660
PM,282
KZ,230749
PA,137097
CO,1524809
IM,6513
SV,300921
MA,100849
TZ,11518
KE,25704
PE,146332
JE,4744
CG,32645
GH,11785
GT,277896
DM,1433
CW,14340
HT,6761
YE,7656
HN,28404
MU,16806
AL,21462
GU,18699
SR,13790
NC,13830
ER,272
PS,55383
SX,2494
NP,29262
ET,1017
GN,906
BB,5390
SD,5486
CM,7688
AW,2457
LR,512
LC,2512
PW,368
CV,1218
GG,2653
MH,1318
MS,292
TO,375
NE,938
NR,191
NF,125
SS,418
CK,382
PN,125
CF,180
--,2564
AQ,20
BL,13
JP,3159751
HK,972180
CN,9270494
FR,2358135
TR,1272877
HU,319720
IL,268043
TH,1475645
UA,649048
ZW,10353
MZ,7147
AU,1207909
BR,3673992
NZ,499611
LV,103835
PR,66070
CZ,474110
GR,200333
BA,54817
MY,226639
LU,41602
SK,130480
LT,136159
DZ,40341
IE,836267
BN,4192
A2,7838
BF,1263
SI,86212
UZ,91807
VG,11843
HR,77249
SY,121688
AE,1344393
EC,258707
MN,8486
GF,2281
TT,49537
SB,671
ZM,18158
TG,1301
IQ,52432
BW,6254
CI,13455
BQ,5441
GP,7055
DJ,562
MR,743
ML,8944
AP,12550
BM,5103
VC,5070
TC,1214
SM,2314
SO,834
CX,122
VA,256
VU,965
YT,324
CC,123
WF,637
US,41110769
KR,5655032
PT,219575
SA,1030561
ES,2059795
IT,2337777
TJ,6145
RO,605821
BE,691567
AT,365764
VN,811897
IN,1895340
BG,357654
ID,329705
AZ,31527
PH,146294
MG,8192
AR,623661
EG,1095962
PK,213305
BH,50600
IS,25169
LY,15429
CL,217299
VE,1357986
UY,42363
MD,100117
AF,4772
OM,315556
CU,13032
MT,15882
BS,8019
NI,21281
PY,16185
MV,7456
MM,1756
GY,2826
%,3610
FM,2206
AG,6098
TD,384
GW,255
KY,5156
BT,1565
KN,2903
LI,3884
LS,5573
SL,423
FK,1418
MW,3705
VI,3973
PG,2868
KM,225
FO,1148
MP,724
BJ,1549
NA,7895
TL,860
AI,763
BI,715
GQ,699
AS,347
SH,125
SJ,123
TK,133
ST,237
