country,found,total_allocated_ipv4s,web (443),web (80),dns (53),ssh (22),telnet (23),ftp (21),smtp (25),imap (143),pop3 (110),imap (993),mysql (3306),jetdirect (9100),ldap (389),mssql (1433),smb (445),netbios (137),netbios (139),upnp (5000),pop3 (995),pptp (1723),rdp (3389),rpc (111),smtp (465),smtp-sub (587),vnc (5900),web-alt (8080),web-alt (8081),ftps (990),web-alt (8443),web-alt (8888),dce (135)
"Micronesia, Federated States of",3284,8192,382 (4.7%),"2,969 (36.2%)",14,"1,719 (21.0%)","1,659 (20.3%)","1,497 (18.3%)",34,1,1,2,3,0,0,0,238 (2.9%),0,253 (3.1%),0,2,8,16,0,2,2,5,5,0,1,1,0,6
Eritrea,2054,4096,17,"2,013 (49.1%)",10,35,35,51 (1.2%),13,8,8,5,3,1,8,2,130 (3.2%),1,4,1,6,123 (3.0%),6,8,2,3,1,3,1,1,3,1,5
Lesotho,29184,103424,"1,212 (1.2%)","12,508 (12.1%)",128,231,203,"1,217 (1.2%)","28,376 (27.4%)","28,297 (27.4%)","28,306 (27.4%)",12,26,3,13,8,146,3,14,5,13,193,60,13,11,13,6,21,7,4,9,3,"28,330 (27.4%)"
"Tanzania, United Republic of",431751,1045760,"2,979","423,989 (40.5%)","1,995","4,247","3,243","1,746","2,953","1,038","1,004",896,"1,123",665,769,768,930,451,724,729,980,"1,764","1,300","1,072",688,771,713,"2,398",701,650,974,451,715
Syrian Arab Republic,358717,1123328,"1,217","355,433 (31.6%)","1,171",16,4,"4,090",157,167,164,63,72,35,33,77,378,3,103,90,68,254,352,49,87,68,11,"46,541 (4.1%)",98,13,140,14,77
"Iran, Islamic Republic of",3919293,12501760,"122,007","3,676,390 (29.4%)","75,818","67,755","78,269","134,702 (1.1%)","47,533","12,018","13,422","8,440","9,814","4,527","3,079","14,735","17,812","3,399","15,518","12,208","8,600","38,337","27,854","5,283","9,289","12,620","5,853","44,096","22,290","1,724","7,873","5,391","16,931"
Saint Vincent and the Grenadines,4541,26112,150,"3,350 (12.8%)",13,"3,374 (12.9%)","3,456 (13.2%)","3,216 (12.3%)",9,5,6,2,5,3,3,3,124,2,9,18,2,137,26,11,3,2,9,60,6,5,6,5,8
Lebanon,162287,571904,"8,321 (1.5%)","138,907 (24.3%)","3,464","4,051","5,560","17,854 (3.1%)","1,568",382,465,227,188,34,158,231,260,3,26,219,237,"6,061 (1.1%)","1,444",158,197,335,114,"2,716",347,28,289,230,19
Kuwait,462641,1951232,"16,212","447,505 (22.9%)","2,875","5,386","7,623","9,575","2,063","1,143","1,233",239,206,96,250,731,"2,419",26,"2,131","1,391",247,"3,231","2,232",256,204,355,169,"8,388","3,622",79,"2,649",217,"1,830"
Dominican Republic,334940,1574912,"81,066 (5.1%)","276,099 (17.5%)","12,410","8,103","24,763 (1.6%)","37,300 (2.4%)",598,241,263,170,241,43,147,395,883,8,586,994,149,"1,487","2,216",380,128,152,166,"10,120",959,28,302,153,548
Bahrain,91340,460800,"3,838","84,324 (18.3%)",569,"1,666","2,273",824,532,72,115,69,72,29,51,166,326,6,89,285,65,660,625,350,47,88,138,"1,084","5,523 (1.2%)",19,207,53,86
Lao People's Democratic Republic,12938,72192,"1,269 (1.8%)","10,342 (14.3%)",242,"2,395 (3.3%)","2,128 (2.9%)","1,281 (1.8%)",198,86,97,65,87,10,16,57,200,4,70,136,59,271,228,63,53,53,97,257,47,8,59,58,64
Iraq,132583,658688,"11,600 (1.8%)","90,808 (13.8%)","22,911 (3.5%)","27,739 (4.2%)","5,535","5,983",340,262,261,121,198,92,146,267,831,30,558,181,231,"4,374",721,193,55,179,137,"1,190",156,90,204,766,415
United Arab Emirates,1630014,3929472,"42,082 (1.1%)","94,434 (2.4%)","11,509","33,200","3,316","34,590","1,081,789 (27.5%)","3,202","3,157","2,525","2,454",740,906,"1,610","372,529 (9.5%)",313,"367,827 (9.4%)","3,355","2,650","7,609","8,454","1,203","2,352","2,712","1,130","51,783 (1.3%)","7,728",500,"3,826","7,247",495
Indonesia,2251276,18025216,"91,046","2,070,456 (11.5%)","103,935","87,698","79,530","99,379","60,388","42,535","44,040","30,019","27,866","11,947","14,381","10,431","17,664","11,043","18,047","16,058","27,561","72,876","25,533","22,506","27,271","28,830","17,042","42,691","19,692","14,651","16,903","13,115","17,439"
Mexico,7217151,28842752,"4,061,597 (14.1%)","3,532,976 (12.2%)","113,309","73,181","129,933","41,525","20,066","15,303","13,905","5,302","10,393","3,345","4,490","8,542","20,071","1,305","16,126","18,384","7,583","23,927","38,560","7,699","4,317","5,825","7,287","928,313 (3.2%)","11,050","2,299","9,768","2,509","16,949"
Cambodia,32585,297216,"5,281 (1.8%)","22,789 (7.7%)","2,543","3,903 (1.3%)","3,775 (1.3%)","9,593 (3.2%)","5,317 (1.8%)",311,381,256,"1,718",60,131,199,414,32,413,"1,480",268,"3,535 (1.2%)",819,242,226,282,197,"3,459 (1.2%)","1,101",43,213,570,386
Afghanistan,13327,167936,943,"11,180 (6.7%)",377,"1,098","1,249","1,140",101,92,146,74,218,105,284,302,"1,838 (1.1%)",1,"1,544",122,81,527,472,172,20,20,285,376,108,103,156,77,227
South Africa,3058891,28208896,"155,882","387,142 (1.4%)","72,453","82,334","45,998","66,084","81,181","29,397","29,433","27,506","25,864","47,930","15,929","56,948","17,810","2,524","11,939","69,538","23,653","2,609,743 (9.3%)","62,949","12,522","26,271","26,540","17,087","78,575","57,165","7,789","42,480","27,326","14,759"
Antigua and Barbuda,5282,64512,"1,636 (2.5%)","2,943 (4.6%)",484,"2,228 (3.5%)","2,293 (3.6%)","1,026 (1.6%)",153,31,34,16,10,5,10,18,349,1,225,14,12,190,69,27,23,27,19,521,31,3,22,6,45
Trinidad and Tobago,33483,533504,"10,461 (2.0%)","24,162 (4.5%)",868,"11,772 (2.2%)","15,630 (2.9%)","18,009 (3.4%)",339,110,122,60,56,61,68,51,"4,133",13,"4,053",472,78,606,495,75,54,75,101,"1,731",386,24,154,83,140
Swaziland,5826,44288,292,"1,992 (4.5%)",119,468 (1.1%),"1,194 (2.7%)",645 (1.5%),"3,840 (8.7%)",57,155,47,31,16,22,26,123,1,86,19,40,215,96,36,18,47,19,72,17,14,45,12,28
Mali,7304,78848,"5,029 (6.4%)","5,119 (6.5%)",102,754,"1,026 (1.3%)",196,104,45,65,34,30,2,16,9,161,1,28,8,36,216,50,43,26,31,12,320,301,4,17,1,30
Bolivia,136917,1144320,"23,881 (2.1%)","50,286 (4.4%)","4,698","33,299 (2.9%)","23,752 (2.1%)","31,697 (2.8%)","62,782 (5.5%)",478,670,372,715,168,318,467,"6,537",9,"5,105","1,426",380,"1,654","1,997",829,326,363,277,"5,828",436,54,387,371,"1,617"
Solomon Islands,668,11520,182 (1.6%),517 (4.5%),106,293 (2.5%),159 (1.4%),132 (1.1%),60,7,16,8,3,1,1,2,126 (1.1%),1,7,6,6,141 (1.2%),31,7,8,7,4,24,1,1,8,2,8
Jamaica,17848,213760,"4,703 (2.2%)","8,309 (3.9%)","2,948 (1.4%)","5,575 (2.6%)","5,830 (2.7%)","1,188",312,116,111,84,89,23,61,71,277,2,69,235,58,706,607,75,51,71,71,800,152,20,163,43,90
Guinea,1766,26368,313 (1.2%),"1,365 (5.2%)",140,383 (1.5%),314 (1.2%),161,24,15,21,14,5,1,5,3,125,1,3,1,15,244,17,13,11,11,4,31,42,2,13,2,4
Poland,1420143,20809288,"778,884 (3.7%)","644,833 (3.1%)","157,841","333,138 (1.6%)","74,078","413,243 (2.0%)","347,316 (1.7%)","303,555 (1.5%)","305,252 (1.5%)","298,230 (1.4%)","285,663 (1.4%)","4,618","4,326","156,227","26,693","4,565","15,640","24,882","296,957 (1.4%)","83,712","50,002","36,177","291,512 (1.4%)","298,649 (1.4%)","13,121","122,097","22,423","157,439","25,612","11,179","16,711"
Comoros,272,5120,29,180 (3.5%),3,58 (1.1%),22,21,5,4,4,1,2,1,1,2,133 (2.6%),1,11,2,1,124 (2.4%),8,2,0,1,2,10,6,1,2,1,7
Palau,252,5632,44,184 (3.3%),26,28,20,9,10,5,7,2,7,1,3,2,130 (2.3%),1,7,1,3,146 (2.6%),12,4,3,3,6,25,2,1,2,2,8
Kiribati,244,4608,48 (1.0%),167 (3.6%),10,55 (1.2%),9,3,36,2,4,2,1,1,2,1,121 (2.6%),1,3,2,1,128 (2.8%),3,1,2,2,2,6,1,1,1,0,4
Botswana,9665,136448,"1,713 (1.3%)","6,848 (5.0%)","1,893 (1.4%)","1,583 (1.2%)","1,026",791,747,522,572,95,81,7,28,86,234,3,57,11,75,267,351,44,74,160,18,367,31,5,195,8,236
Equatorial Guinea,1050,16384,178 (1.1%),749 (4.6%),82,356 (2.2%),139,82,22,7,7,5,14,1,5,4,133,1,10,3,6,154,20,9,6,6,6,33,13,2,2,2,9
Netherlands,3475646,50012384,"2,481,427 (5.0%)","2,615,647 (5.2%)","209,772","422,371","45,133","238,243","266,695","150,455","165,523","187,729","136,527","7,934","9,756","10,816","48,596","30,471","23,352","66,653","147,070","239,465","133,048","68,681","139,802","133,700","16,908","183,405","74,127","7,210","96,686","14,969","58,232"
Belize,8828,161792,"2,831 (1.7%)","5,637 (3.5%)",754,"3,992 (2.5%)","2,626 (1.6%)","2,260 (1.4%)","1,465",731,729,665,706,11,46,18,264,22,115,89,661,226,204,158,582,595,32,968,143,6,66,76,128
Timor-Leste,1357,13568,110,738 (5.4%),97,109,49,71,33,19,21,16,16,1,6,1,1,1,3,3,16,32,12,8,11,21,6,522 (3.8%),4,1,6,1,2
Bosnia and Herzegovina,51004,795392,"9,648 (1.2%)","20,474 (2.6%)","9,998 (1.3%)","9,980 (1.3%)","22,049 (2.8%)","6,332","1,095",638,708,513,609,117,147,641,982,39,537,795,498,"2,439","1,673",353,480,529,222,"3,183",345,94,353,"9,907 (1.2%)",561
Armenia,49970,612640,"14,291 (2.3%)","25,662 (4.2%)","4,025","6,856 (1.1%)","2,672","4,355","1,342",445,969,339,495,21,66,184,"5,676",35,"1,160",610,316,"1,412","1,192",300,407,404,84,"1,561","1,228",15,189,148,"1,526"
Kazakhstan,257883,2931200,"174,634 (6.0%)","151,121 (5.2%)","111,050 (3.8%)","12,733","5,905","15,112","4,502","2,722","2,548","2,476","1,762",226,525,597,"6,602",8,"3,000",905,"1,803","4,114","5,698","1,310","2,114","1,936",454,"5,765",810,107,964,"1,436","1,759"
Bahamas,8599,136704,"2,496 (1.8%)","5,512 (4.0%)",655,"1,081","1,045",796,585,247,260,186,174,45,90,63,135,32,29,254,170,528,596,156,209,150,81,895,255,35,247,49,26
