country,found,total_allocated_ipv4s,web (443),web (80),dns (53),ssh (22),telnet (23),ftp (21),smtp (25),imap (143),pop3 (110),imap (993),mysql (3306),jetdirect (9100),ldap (389),mssql (1433),smb (445),netbios (137),netbios (139),upnp (5000),pop3 (995),pptp (1723),rdp (3389),rpc (111),smtp (465),smtp-sub (587),vnc (5900),web-alt (8080),web-alt (8081),ftps (990),web-alt (8443),web-alt (8888),dce (135)
Zimbabwe,"12,927","88,576","6,352 (7.2%)","7,672 (8.7%)",388,"4,702 (5.3%)","3,295 (3.7%)","3,748 (4.2%)","3,416 (3.9%)","2,975 (3.4%)","2,765 (3.1%)","2,941 (3.3%)","1,682 (1.9%)","2,577 (2.9%)","1,730 (2.0%)","1,634 (1.8%)",920 (1.0%),691,783,"3,433 (3.9%)","2,990 (3.4%)","3,920 (4.4%)","2,274 (2.6%)","1,765 (2.0%)","3,564 (4.0%)","3,532 (4.0%)","2,421 (2.7%)","3,152 (3.6%)","3,553 (4.0%)","1,033 (1.2%)","3,639 (4.1%)","2,209 (2.5%)",807
Hong Kong SAR,"1,045,826","11,814,400","324,163 (2.7%)","701,562 (5.9%)","174,573 (1.5%)","281,539 (2.4%)","197,259 (1.7%)","320,346 (2.7%)","187,441 (1.6%)","167,229 (1.4%)","176,373 (1.5%)","149,106 (1.3%)","286,098 (2.4%)","113,207","116,857","144,664 (1.2%)","192,111 (1.6%)","68,117","99,319","135,834 (1.1%)","146,528 (1.2%)","202,518 (1.7%)","199,327 (1.7%)","159,615 (1.4%)","131,125 (1.1%)","131,015 (1.1%)","123,881 (1.0%)","202,635 (1.7%)","151,812 (1.3%)","124,357 (1.1%)","132,933 (1.1%)","83,603","204,313 (1.7%)"
Samoa,995,"17,920",370 (2.1%),786 (4.4%),411 (2.3%),361 (2.0%),294 (1.6%),290 (1.6%),266 (1.5%),240 (1.3%),248 (1.4%),236 (1.3%),226 (1.3%),222 (1.2%),225 (1.3%),224 (1.2%),265 (1.5%),223 (1.2%),137,221 (1.2%),238 (1.3%),384 (2.1%),232 (1.3%),227 (1.3%),232 (1.3%),232 (1.3%),233 (1.3%),253 (1.4%),231 (1.3%),223 (1.2%),226 (1.3%),148,152
Congo,"29,575","53,760","1,230 (2.3%)","25,314 (47.1%)",763 (1.4%),"1,611 (3.0%)","2,527 (4.7%)","2,139 (4.0%)",536,754 (1.4%),297,308,151,872 (1.6%),896 (1.7%),"1,362 (2.5%)",928 (1.7%),352,130,"1,291 (2.4%)",527,585 (1.1%),167,247,"1,020 (1.9%)",539 (1.0%),387,335,824 (1.5%),454,"1,307 (2.4%)","1,581 (2.9%)",656 (1.2%)
Tajikistan,"4,946","70,144","1,263 (1.8%)","2,901 (4.1%)","1,560 (2.2%)","2,258 (3.2%)","1,343 (1.9%)","1,049 (1.5%)","1,512 (2.2%)",727 (1.0%),809 (1.2%),687,705 (1.0%),623,675,680,"1,114 (1.6%)",639,857 (1.2%),760 (1.1%),715 (1.0%),"1,101 (1.6%)",921 (1.3%),707 (1.0%),694,670,666,931 (1.3%),"1,148 (1.6%)",622,679,459,867 (1.2%)
Romania,"632,043","8,565,504","177,420 (2.1%)","353,839 (4.1%)","113,910 (1.3%)","91,898 (1.1%)","129,701 (1.5%)","134,589 (1.6%)","177,708 (2.1%)","107,921 (1.3%)","107,713 (1.3%)","98,728 (1.2%)","78,735","38,661","37,428","39,037","47,435","36,937","43,054","50,946","96,797 (1.1%)","57,198","50,786","49,435","94,246 (1.1%)","88,818 (1.0%)","39,700","114,711 (1.3%)","115,949 (1.4%)","37,350","43,834","31,165","45,274"
Ireland,"1,275,086","6,480,720","596,168 (9.2%)","685,713 (10.6%)","23,911","215,897 (3.3%)","122,842 (1.9%)","143,368 (2.2%)","141,374 (2.2%)","118,649 (1.8%)","146,488 (2.3%)","83,096 (1.3%)","21,219","1,488","4,136","5,708","190,616 (2.9%)","2,651","106,705 (1.6%)","183,927 (2.8%)","73,415 (1.1%)","11,818","55,668","103,555 (1.6%)","188,544 (2.9%)","186,326 (2.9%)","190,291 (2.9%)","32,323","237,881 (3.7%)","3,689","25,406","2,413","101,712 (1.6%)"
Lithuania,"312,365","2,282,752","41,612 (1.8%)","72,720 (3.2%)","29,006 (1.3%)","47,421 (2.1%)","14,272","36,693 (1.6%)","53,982 (2.4%)","27,979 (1.2%)","28,900 (1.3%)","16,661","21,419","8,119","10,843","8,278","13,588","7,190","9,316","10,652","16,745","21,979","15,055","14,845","18,454","17,820","8,570","17,567","11,773","7,131","12,122","6,177","9,584"
Australia,"1,305,124","48,475,904","675,525 (1.4%)","738,989 (1.5%)","304,533","422,038","283,370","361,929","337,384","264,369","256,540","291,372","267,141","242,308","240,909","242,826","249,118","228,770","238,247","299,777","287,132","329,809","311,883","234,679","286,356","251,082","249,606","320,498","263,669","247,558","269,399","158,722","239,809"
Estonia,"127,955","1,237,560","27,079 (2.2%)","43,462 (3.5%)","13,332 (1.1%)","23,876 (1.9%)","4,669","19,055 (1.5%)","17,689 (1.4%)","14,304 (1.2%)","17,404 (1.4%)","14,211 (1.1%)","8,661","3,347","2,980","2,975","4,586","2,583","3,272","4,441","13,650 (1.1%)","6,607","6,137","4,395","9,075","10,862","3,743","15,511 (1.3%)","8,854","3,783","4,842","5,258","3,467"
Denmark,"492,300","12,573,032","155,679 (1.2%)","289,256 (2.3%)","48,202","84,184","44,547","74,540","57,653","50,627","48,165","48,921","45,558","37,867","45,971","41,962","53,542","36,050","41,868","50,671","45,926","63,804","58,422","48,562","50,040","45,715","42,669","70,035","81,228","41,325","47,996","27,154","39,763"
Latvia,"191,419","1,741,824","31,294 (1.8%)","72,200 (4.1%)","14,815","24,240 (1.4%)","10,912","16,632","13,709","11,116","9,878","8,293","7,597","5,007","5,199","5,116","9,455","4,400","6,635","6,095","8,088","12,947","10,852","11,794","8,876","7,740","5,656","14,194","8,099","4,545","6,371","3,876","7,869"
Turkey,"1,381,183","16,474,112","208,562 (1.3%)","479,347 (2.9%)","268,296 (1.6%)","91,380","87,967","188,083 (1.1%)","160,734","100,360","106,372","75,896","77,723","15,345","15,230","35,693","49,208","10,242","30,934","30,328","75,546","40,639","71,966","62,371","89,241","105,844","17,333","80,196","615,231 (3.7%)","12,723","41,927","14,042","54,345"
France,"2,589,409","81,346,256","1,115,147 (1.4%)","1,547,191 (1.9%)","473,659","1,006,688 (1.2%)","354,322","573,970","576,099","387,022","428,795","358,973","328,941","161,256","170,186","166,450","193,308","157,923","215,071","228,434","397,014","275,228","289,672","286,654","317,763","328,748","175,200","420,438","230,503","167,319","235,566","118,292","231,335"
