iso2c,port,total_in_port,total_ips,port_name,ssl,port_group,un_code,country_name,region,sub_region,iso3c,iso3n,imf,wb,continent
CA,111,49727,2003404,rpc,FALSE,rpc,124,Canada,Latin America and the Caribbean,Northern America,CAN,124,156,CAN,Americas
GR,111,2307,200333,rpc,FALSE,rpc,300,Greece,Europe,Southern Europe,GRC,300,174,GRC,Europe
MA,111,598,100849,rpc,FALSE,rpc,504,Morocco,Africa,Northern Africa,MAR,504,686,MAR,Africa
EG,111,1209,1095962,rpc,FALSE,rpc,818,Egypt,Africa,Northern Africa,EGY,818,469,EGY,Africa
WS,111,295,1317,rpc,FALSE,rpc,882,Samoa,Oceania,Polynesia,WSM,882,862,WSM,Oceania
GE,111,389,43664,rpc,FALSE,rpc,268,Georgia,Asia,Western Asia,GEO,268,915,GEO,Asia
LK,111,386,125122,rpc,FALSE,rpc,144,Sri Lanka,Asia,Southern Asia,LKA,144,524,LKA,Asia
BM,111,30,5103,rpc,FALSE,rpc,60,Bermuda,Latin America and the Caribbean,Northern America,BMU,60,319,BMU,Americas
BW,111,41,6254,rpc,FALSE,rpc,72,Botswana,Africa,Southern Africa,BWA,72,616,BWA,Africa
LC,111,17,2512,rpc,FALSE,rpc,662,Saint Lucia,Latin America and the Caribbean,Caribbean,LCA,662,362,LCA,Americas
PY,111,180,16185,rpc,FALSE,rpc,600,Paraguay,Latin America and the Caribbean,South America,PRY,600,288,PRY,Americas
AS,111,15,347,rpc,FALSE,rpc,16,American Samoa,Oceania,Polynesia,ASM,16,859,ASM,Oceania
LA,111,71,5704,rpc,FALSE,rpc,418,Lao People's Democratic Republic,Asia,South-Eastern Asia,LAO,418,544,LAO,Asia
VN,139,12761,811897,netbios,FALSE,microsoft,704,Viet Nam,Asia,South-Eastern Asia,VNM,704,582,VNM,Asia
AU,139,195249,1207909,netbios,FALSE,microsoft,36,Australia,Oceania,Australia and New Zealand,AUS,36,193,AUS,Oceania
NZ,139,3407,499611,netbios,FALSE,microsoft,554,New Zealand,Oceania,Australia and New Zealand,NZL,554,196,NZL,Oceania
ES,139,53470,2059795,netbios,FALSE,microsoft,724,Spain,Europe,Southern Europe,ESP,724,184,ESP,Europe
LU,139,462,41602,netbios,FALSE,microsoft,442,Luxembourg,Europe,Western Europe,LUX,442,137,LUX,Europe
GB,139,98814,2970971,netbios,FALSE,microsoft,826,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,GBR,826,112,GBR,Europe
A2,139,2890,7838,netbios,FALSE,microsoft,NA,NA,NA,NA,NA,NA,NA,NA,NA
BY,139,810,41920,netbios,FALSE,microsoft,112,Belarus,Europe,Eastern Europe,BLR,112,913,BLR,Europe
TN,139,777,104364,netbios,FALSE,microsoft,788,Tunisia,Africa,Northern Africa,TUN,788,744,TUN,Africa
LC,139,30,2512,netbios,FALSE,microsoft,662,Saint Lucia,Latin America and the Caribbean,Caribbean,LCA,662,362,LCA,Americas
IM,139,285,6513,netbios,FALSE,microsoft,833,Isle of Man,Europe,Northern Europe,IMN,833,NA,IMY,Europe
KH,139,260,24396,netbios,FALSE,microsoft,116,Cambodia,Asia,South-Eastern Asia,KHM,116,522,KHM,Asia
DO,139,70990,332251,netbios,FALSE,microsoft,214,Dominican Republic,Latin America and the Caribbean,Caribbean,DOM,214,243,DOM,Americas
BZ,139,119,15786,netbios,FALSE,microsoft,84,Belize,Latin America and the Caribbean,Central America,BLZ,84,339,BLZ,Americas
SX,139,33,2494,netbios,FALSE,microsoft,534,Sint Maarten (Dutch part),Latin America and the Caribbean,Caribbean,SXM,534,NA,SXM,Americas
KI,139,4,197,netbios,FALSE,microsoft,296,Kiribati,Oceania,Micronesia,KIR,296,826,KIR,Oceania
CU,139,3,13032,netbios,FALSE,microsoft,192,Cuba,Latin America and the Caribbean,Caribbean,CUB,192,928,CUB,Americas
CA,143,484250,2003404,imap,FALSE,mail,124,Canada,Latin America and the Caribbean,Northern America,CAN,124,156,CAN,Americas
PH,143,3448,146294,imap,FALSE,mail,608,Philippines,Asia,South-Eastern Asia,PHL,608,566,PHL,Asia
ES,143,87237,2059795,imap,FALSE,mail,724,Spain,Europe,Southern Europe,ESP,724,184,ESP,Europe
DE,143,420829,4591820,imap,FALSE,mail,276,Germany,Europe,Western Europe,DEU,276,134,DEU,Europe
SE,143,29059,685508,imap,FALSE,mail,752,Sweden,Europe,Northern Europe,SWE,752,144,SWE,Europe
A2,143,2976,7838,imap,FALSE,mail,NA,NA,NA,NA,NA,NA,NA,NA,NA
EE,143,9412,66660,imap,FALSE,mail,233,Estonia,Europe,Northern Europe,EST,233,939,EST,Europe
MD,143,2261,100117,imap,FALSE,mail,498,Republic of Moldova,Europe,Eastern Europe,MDA,498,921,MDA,Europe
GA,143,692,6645,imap,FALSE,mail,266,Gabon,Africa,Middle Africa,GAB,266,646,GAB,Africa
TN,143,256,104364,imap,FALSE,mail,788,Tunisia,Africa,Northern Africa,TUN,788,744,TUN,Africa
CY,143,2088,27058,imap,FALSE,mail,196,Cyprus,Asia,Western Asia,CYP,196,423,CYP,Asia
AZ,143,1333,31527,imap,FALSE,mail,31,Azerbaijan,Asia,Western Asia,AZE,31,912,AZE,Asia
OM,143,235,315556,imap,FALSE,mail,512,Oman,Asia,Western Asia,OMN,512,449,OMN,Asia
MX,143,80529,3430468,imap,FALSE,mail,484,Mexico,Latin America and the Caribbean,Central America,MEX,484,273,MEX,Americas
DO,143,70576,332251,imap,FALSE,mail,214,Dominican Republic,Latin America and the Caribbean,Caribbean,DOM,214,243,DOM,Americas
CI,143,160,13455,imap,FALSE,mail,384,Cote d'Ivoire,Africa,Western Africa,CIV,384,662,CIV,Africa
BI,143,16,715,imap,FALSE,mail,108,Burundi,Africa,Eastern Africa,BDI,108,618,BDI,Africa
GG,143,15,2653,imap,FALSE,mail,831,Guernsey,Europe,Northern Europe,GGY,831,NA,GGY,Europe
SM,143,96,2314,imap,FALSE,mail,674,San Marino,Europe,Southern Europe,SMR,674,135,SMR,Europe
YE,143,149,7656,imap,FALSE,mail,887,Yemen,Asia,Western Asia,YEM,887,474,YEM,Asia
AX,143,25,4771,imap,FALSE,mail,248,Åland Islands,Europe,Northern Europe,ALA,248,NA,ALA,Europe
CA,21,401227,2003404,ftp,FALSE,file-transfer,124,Canada,Latin America and the Caribbean,Northern America,CAN,124,156,CAN,Americas
PR,21,4798,66070,ftp,FALSE,file-transfer,630,Puerto Rico,Latin America and the Caribbean,Caribbean,PRI,630,NA,PRI,Americas
ES,21,385316,2059795,ftp,FALSE,file-transfer,724,Spain,Europe,Southern Europe,ESP,724,184,ESP,Europe
BG,21,43187,357654,ftp,FALSE,file-transfer,100,Bulgaria,Europe,Eastern Europe,BGR,100,918,BGR,Europe
IS,21,8332,25169,ftp,FALSE,file-transfer,352,Iceland,Europe,Northern Europe,ISL,352,176,ISL,Europe
AX,21,3541,4771,ftp,FALSE,file-transfer,248,Åland Islands,Europe,Northern Europe,ALA,248,NA,ALA,Europe
LI,21,442,3884,ftp,FALSE,file-transfer,438,Liechtenstein,Europe,Western Europe,LIE,438,NA,LIE,Europe
MA,21,11381,100849,ftp,FALSE,file-transfer,504,Morocco,Africa,Northern Africa,MAR,504,686,MAR,Africa
GT,21,19298,277896,ftp,FALSE,file-transfer,320,Guatemala,Latin America and the Caribbean,Central America,GTM,320,258,GTM,Americas
GA,21,994,6645,ftp,FALSE,file-transfer,266,Gabon,Africa,Middle Africa,GAB,266,646,GAB,Africa
RE,21,708,27030,ftp,FALSE,file-transfer,638,Réunion,Africa,Eastern Africa,REU,638,696,REU,Africa
