cc,port,n
CA,111,49727
GR,111,2307
MA,111,598
EG,111,1209
WS,111,295
GE,111,389
LK,111,386
BM,111,30
BW,111,41
LC,111,17
PY,111,180
AS,111,15
LA,111,71
VN,139,12761
AU,139,195249
NZ,139,3407
ES,139,53470
LU,139,462
GB,139,98814
A2,139,2890
BY,139,810
TN,139,777
LC,139,30
IM,139,285
KH,139,260
DO,139,70990
BZ,139,119
SX,139,33
KI,139,4
CU,139,3
CA,143,484250
PH,143,3448
ES,143,87237
DE,143,420829
SE,143,29059
A2,143,2976
EE,143,9412
MD,143,2261
GA,143,692
TN,143,256
CY,143,2088
AZ,143,1333
OM,143,235
MX,143,80529
DO,143,70576
CI,143,160
BI,143,16
GG,143,15
SM,143,96
YE,143,149
AX,143,25
CA,21,401227
PR,21,4798
ES,21,385316
BG,21,43187
IS,21,8332
AX,21,3541
LI,21,442
MA,21,11381
GT,21,19298
GA,21,994
RE,21,708
GN,21,145
RW,21,181
MX,21,57473
GQ,21,63
AW,21,197
ER,21,47
IQ,22,16104
AT,22,56012
EE,22,19828
KW,22,6345
LV,22,22807
TM,22,68
GR,22,19091
IS,22,9377
RW,22,1457
ZW,22,3209
PA,22,16257
BB,22,1637
VI,22,427
DM,22,449
PW,22,20
BO,22,31480
BQ,22,3817
GF,22,132
DJ,22,93
KM,22,50
CK,22,59
PR,23,22312
HK,23,197059
NO,23,105816
RS,23,17609
BA,23,21676
AX,23,3544
IS,23,6227
AM,23,3845
PE,23,23790
KG,23,1884
GU,23,12901
AD,23,220
IM,23,465
CW,23,7720
CR,23,39711
VA,23,4
VG,25,2874
AU,25,329947
MY,25,19503
NA,25,1819
EC,25,4777
AP,25,264
MO,25,1349
BF,25,97
KP,25,66
US,3306,3162867
ID,3306,17147
HU,3306,9202
%,3306,1110
AM,3306,482
CL,3306,4316
UZ,3306,281
EC,3306,1887
YE,3306,157
KP,3306,26
CK,3306,3
BF,3306,12
BJ,3306,35
ST,3306,4
SG,3389,42264
PR,3389,2174
FR,3389,218782
AT,3389,20536
EE,3389,4135
SK,3389,9291
LV,3389,6379
IS,3389,1988
NG,3389,3451
NE,3389,16
PE,3389,10166
MC,3389,272
SS,3389,30
DM,3389,20
SB,443,298
AP,443,11667
TL,443,175
GW,443,164
AL,443,5659
SR,443,3294
GL,443,694
CX,443,106
HR,443,17535
LI,443,2143
AO,443,5141
IL,443,81252
SK,443,32778
GG,443,1486
CC,443,116
TV,443,128
SY,465,48
SA,465,8027
IL,465,7103
FO,465,114
DZ,465,1500
MZ,465,616
GA,465,748
PT,465,9899
LI,465,373
UG,465,136
FK,465,1290
BH,465,72
KP,465,15
CA,53,186324
PH,53,20994
FR,53,328064
AM,53,6405
EE,53,8184
UZ,53,670
TJ,53,2707
KZ,53,94357
QA,53,9392
AP,53,145
VU,53,142
SD,53,126
GG,53,39
KI,53,18
FM,53,17
MF,53,39
AX,53,26
AW,53,60
NL,587,137895
TZ,587,659
AS,587,4
FO,587,128
VI,587,55
BJ,587,33
LA,587,49
MC,587,45
TK,587,1
MD,8080,9897
SK,8080,16061
TH,8080,572116
RE,8080,972
GP,8080,2272
BR,8080,504580
FK,8080,1291
BM,8080,1886
AX,8080,112
HN,8080,12596
UY,8080,8462
HT,8080,2379
AP,8080,151
MF,8080,40
TM,8080,17
CA,8081,58172
AU,8081,206479
AT,8081,7864
DE,8081,75431
MZ,8081,582
MO,8081,1503
LI,8081,50
AD,8081,75
ST,8081,14
MW,8081,18
DJ,8081,2
MY,8443,7323
RU,8443,32668
BE,8443,269582
NL,8443,81109
KE,8443,1099
HU,8443,4850
EU,8443,8249
LK,8443,372
SO,8443,14
A1,8443,119
CO,8443,27386
AL,8443,61
CR,8443,4118
SS,8443,13
SL,8443,10
AW,8443,31
TM,8443,2
%,8443,5
IL,990,1390
SE,990,2381
CZ,990,4891
DK,990,4546
BY,990,102
UA,990,666
OM,990,405
AF,990,437
PF,990,1903
NI,990,17
TW,995,43141
MY,995,10957
AU,995,235675
EE,995,8724
PT,995,9919
PK,995,2620
KE,995,1875
MZ,995,629
AE,995,721
SN,995,36
TM,995,19
BW,995,71
KP,995,18
CW,995,106
PF,995,1925
MM,995,186
LS,995,10
LA,995,50
FJ,995,27
KI,995,1
SE,110,27282
CY,110,2211
HR,110,2744
LB,110,918
NG,110,1080
TM,110,129
FK,110,1275
%,110,444
KY,110,66
BR,110,122523
NA,110,236
CI,110,205
JM,110,139
MM,110,220
SM,110,99
