threat_category,ioc
Cryptocurrency mining,ws032.authedmine[.]com
Cryptocurrency mining,europe[.]cryptonight-hub[.]miningpoolhub[.]com
Cryptocurrency mining,hxxp://foreground[.]me/m/3[.]ico
Cryptocurrency mining,www.hashing[.]win
Cryptocurrency mining,lixans[.]com
Cryptocurrency mining,hrtests.ru
Cryptocurrency mining,stafftest.ru
Cryptocurrency mining,browsermine[.]com
Cryptocurrency mining,hxxp://newage[.]newminersage[.]com:8393/
Cryptocurrency mining,newage.newminersage[.]com
Cryptocurrency mining,newage.radnewage[.]com
Cryptocurrency mining,newage.minernewage[.]com
Cryptocurrency mining,ftp.oo000oo[.]me
Cryptocurrency mining,europe.cryptonight-hub.miningpoolhub.com
Malicious Office Document,hxxp://www[.]furnisofa[.]com/YucipclqQ4/
Malicious Office Document,hxxp://www[.]marpaybiotech[.]com/IIzaSAz/
Malicious Office Document,hxxp://www[.]gentiane-salers[.]com/PpsNE9P/
Malicious Office Document,hxxp://www[.]bibizdevar[.]com/dNL2ZI5alI/
Malicious Office Document,hxxp://www[.]hotpietruck[.]com/LnhchhmDCU
Malicious Office Document,hxxp://189[.]197.62.222:443/
Malicious Office Document,hxxp://187[.]167.192.22/
Malicious Office Document,hxxp://theneonblonde[.]com/hu[.]hu
Malicious Office Document,hxxp://adultacnetreatmentreviews[.]com/hu[.]hu
Malicious Office Document,hxxp://matdansunano[.]com/sotpie/8kQ6K/
Malicious Office Document,hxxp://www.sayginmedia[.]com/6gOwBc/
Malicious Office Document,hxxp://www.federalarmsinternational[.]com
Malicious Office Document,hxxp://www.peternakan.unwiku.ac[.]id/8jPle/8jPle/
Malicious Office Document,hxxp://www.mezuena[.]com/MfXlN/
Malicious Office Document,hxxp://88[.]79[.]210[.]243:443/
Malicious Office Document,hxxp://24[.]121[.]176[.]48:443/
Malicious Office Document,hxxp://144[.]217[.]246[.]57/
Malicious Office Document,hxxp://www.npi95[.]fr/YTR/
Malicious Office Document,hxxp://www.showbizpro[.]ru/HI/
Malicious Office Document,hxxp://www.agjas[.]org/m/
Malicious Office Document,hxxp://www.altinbronz[.]com[.]tr/BCsOo/
Malicious Office Document,hxxp://www.travelution[.]id/cbpGh3W/
Malicious Office Document,144[.]217[.]246[.]57
Malicious Office Document,hxxp://www.ekomaiko[.]cl/GbIamb/
Malicious Office Document,hxxp://www.nevisandeh[.]info/L4GS7dj/
Malicious Office Document,hxxp://www.frotista.com[.]br/Yb/
