threat_category,ioc
Application Whitelist Bypass,https://metrics[.]kz/analytics-google/ter/logs[.]txt
Application Whitelist Bypass,http://server2[.]aserdefa[.]ru/restore[.]xml
Application Whitelist Bypass,http://server2[.]aserdefa[.]ru/restore[.]xml
Cryptocurrency mining,ws032.authedmine[.]com
Cryptocurrency mining,europe[.]cryptonight-hub[.]miningpoolhub[.]com
Cryptocurrency mining,http://foreground[.]me/m/3[.]ico
Cryptocurrency mining,eb50a19ff8e66dd1c44f1a067aecdcef
Cryptocurrency mining,427c49a55dae2d061136479641c8fa1
Cryptocurrency mining,47595a034ab7b73bdd28e9cae028389b
Cryptocurrency mining,www.hashing[.]win
Cryptocurrency mining,lixans[.]com
Cryptocurrency mining,a76cb2207e78ddba97b377d66b8a3627
Cryptocurrency mining,hrtests.ru
Cryptocurrency mining,stafftest.ru
Cryptocurrency mining,browsermine[.]com
Cryptocurrency mining,http://newage[.]newminersage[.]com:8393/
Cryptocurrency mining,newage.newminersage[.]com
Cryptocurrency mining,newage.radnewage[.]com
Cryptocurrency mining,newage.minernewage[.]com
Cryptocurrency mining,ftp.oo000oo[.]me
Cryptocurrency mining,3504821db33c11dcddebca16f57610b5
Cryptocurrency mining,europe.cryptonight-hub.miningpoolhub.com
Malicious Office Document,hxxp://www[.]furnisofa[.]com/YucipclqQ4/
Malicious Office Document,hxxp://www[.]marpaybiotech[.]com/IIzaSAz/
Malicious Office Document,hxxp://www[.]gentiane-salers[.]com/PpsNE9P/
Malicious Office Document,hxxp://www[.]bibizdevar[.]com/dNL2ZI5alI/
Malicious Office Document,hxxp://www[.]hotpietruck[.]com/LnhchhmDCU
Malicious Office Document,0bdd1d2c6f4ba877e6d71c72253a2d2148219c7d74e7cc311fb719c75e2e86af
Malicious Office Document,hxxp://189[.]197.62.222:443/
Malicious Office Document,hxxp://187[.]167.192.22/
Malicious Office Document,http://theneonblonde[.]com/hu[.]hu
Malicious Office Document,http://adultacnetreatmentreviews[.]com/hu[.]hu
Malicious Office Document,hxxp://matdansunano[.]com/sotpie/8kQ6K/
Malicious Office Document,hxxp://www.sayginmedia[.]com/6gOwBc/
Malicious Office Document,hxxp://www.federalarmsinternational[.]com
Malicious Office Document,hxxp://www.peternakan.unwiku.ac[.]id/8jPle/8jPle/
Malicious Office Document,hxxp://www.mezuena[.]com/MfXlN/
Malicious Office Document,b8abefa95c17a300f1588cd052249fef
Malicious Office Document,http://88[.]79[.]210[.]243:443/
Malicious Office Document,http://24[.]121[.]176[.]48:443/
Malicious Office Document,http://144[.]217[.]246[.]57/
Malicious Office Document,hxxp://www.npi95[.]fr/YTR/
Malicious Office Document,hxxp://www.showbizpro[.]ru/HI/
Malicious Office Document,hxxp://www.agjas[.]org/m/
Malicious Office Document,hxxp://www.altinbronz[.]com[.]tr/BCsOo/
Malicious Office Document,hxxp://www.travelution[.]id/cbpGh3W/
Malicious Office Document,8A0295C8C0F19AD046E3F76499DA0FCF
Malicious Office Document,144[.]217[.]246[.]57
Malicious Office Document,http://www.ekomaiko[.]cl/GbIamb/
Malicious Office Document,http://www.nevisandeh[.]info/L4GS7dj/
Malicious Office Document,http://www.frotista.com[.]br/Yb/
Malicious Office Document,http://www.planedoengenharia.com[.]br/y/
Malicious Office Document,http://inicjatywa.edu[.]pl//5n/
Malicious Office Document,144[.]217[.]246[.]57
Malicious Office Document,hxxp://www.alouane-organisation[.]com/Z8W/
